"","TCGA-2W-A8YY-01","TCGA-4J-AA1J-01","TCGA-BI-A0VR-01","TCGA-BI-A0VS-01","TCGA-BI-A20A-01","TCGA-C5-A0TN-01","TCGA-C5-A1BE-01","TCGA-C5-A1BF-01","TCGA-C5-A1BI-01","TCGA-C5-A1BJ-01","TCGA-C5-A1BK-01","TCGA-C5-A1BL-01","TCGA-C5-A1BM-01","TCGA-C5-A1BN-01","TCGA-C5-A1BQ-01","TCGA-C5-A1M5-01","TCGA-C5-A1M6-01","TCGA-C5-A1M7-01","TCGA-C5-A1M8-01","TCGA-C5-A1M9-01","TCGA-C5-A1ME-01","TCGA-C5-A1MF-01","TCGA-C5-A1MH-01","TCGA-C5-A1MI-01","TCGA-C5-A1MJ-01","TCGA-C5-A1MK-01","TCGA-C5-A1ML-01","TCGA-C5-A1MN-01","TCGA-C5-A1MP-01","TCGA-C5-A1MQ-01","TCGA-C5-A2LS-01","TCGA-C5-A2LT-01","TCGA-C5-A2LV-01","TCGA-C5-A2LX-01","TCGA-C5-A2LY-01","TCGA-C5-A2LZ-01","TCGA-C5-A2M1-01","TCGA-C5-A2M2-01","TCGA-C5-A3HD-01","TCGA-C5-A3HE-01","TCGA-C5-A3HF-01","TCGA-C5-A3HL-01","TCGA-C5-A7CG-01","TCGA-C5-A7CH-01","TCGA-C5-A7CJ-01","TCGA-C5-A7CK-01","TCGA-C5-A7CL-01","TCGA-C5-A7CM-01","TCGA-C5-A7CO-01","TCGA-C5-A7UC-01","TCGA-C5-A7UE-01","TCGA-C5-A7UH-01","TCGA-C5-A7UI-01","TCGA-C5-A7X3-01","TCGA-C5-A7X5-01","TCGA-C5-A7X8-01","TCGA-C5-A7XC-01","TCGA-C5-A8XH-01","TCGA-C5-A8XI-01","TCGA-C5-A8XJ-01","TCGA-C5-A8XK-01","TCGA-C5-A8YQ-01","TCGA-C5-A8YR-01","TCGA-C5-A8YT-01","TCGA-C5-A8ZZ-01","TCGA-C5-A901-01","TCGA-C5-A902-01","TCGA-C5-A905-01","TCGA-C5-A907-01","TCGA-DG-A2KH-01","TCGA-DG-A2KJ-01","TCGA-DG-A2KK-01","TCGA-DG-A2KL-01","TCGA-DG-A2KM-01","TCGA-DR-A0ZL-01","TCGA-DR-A0ZM-01","TCGA-DS-A0VK-01","TCGA-DS-A0VL-01","TCGA-DS-A0VM-01","TCGA-DS-A0VN-01","TCGA-DS-A1O9-01","TCGA-DS-A1OA-01","TCGA-DS-A1OB-01","TCGA-DS-A1OC-01","TCGA-DS-A1OD-01","TCGA-DS-A3LQ-01","TCGA-DS-A5RQ-01","TCGA-DS-A7WF-01","TCGA-DS-A7WH-01","TCGA-DS-A7WI-01","TCGA-EA-A1QS-01","TCGA-EA-A1QT-01","TCGA-EA-A3HQ-01","TCGA-EA-A3HR-01","TCGA-EA-A3HS-01","TCGA-EA-A3HT-01","TCGA-EA-A3HU-01","TCGA-EA-A3QD-01","TCGA-EA-A3QE-01","TCGA-EA-A3Y4-01"
"CTCF",10.532399078857,10.8062980346338,10.7432501235978,10.8291751204732,10.1937416869369,10.0554452718699,10.7375823271654,10.4506204134008,10.8057751436382,10.6008516827773,10.1491266018112,10.6526954088506,10.4892492883547,10.7555709506113,10.36509551138,10.9318659231383,10.7514409579405,10.8834625852106,10.6931980410866,10.6881636573925,9.64065382265766,10.2070980477647,10.6765049942496,11.2110614274375,10.7297340815736,10.4355690083164,10.2559932708801,10.0767342427867,10.4491576234926,9.67157680194046,10.0729177312203,9.89422707700488,10.1433949493925,9.51335651311937,10.0981650259219,10.6553677511262,10.0824085434132,10.5883871815943,10.7655713768267,10.3705417134033,10.3965992158787,10.5728756505698,10.6558463284832,10.355711945312,10.761279205598,10.7234354363668,10.3294095499433,10.1711032220823,10.0653416754189,10.5312589237135,10.2574715260073,10.5186398792776,9.79360932388281,10.3220045106165,10.1012247227726,10.3243478760352,10.9633846752655,10.3920425975487,10.4644568171343,10.7610683973082,10.4139555655159,10.2812232229731,10.3244188754575,10.9739045370727,10.7416482388603,10.2372656594221,9.91679458750892,10.6464107430754,10.2394659479555,10.639132203801,9.23758881268755,10.5802415113701,10.7662878043393,10.6247104814523,10.8912549725079,10.1209033338206,10.6853914669,10.7588163303238,10.3077126644148,10.8291146140272,10.5159294292662,10.4790347800465,9.97539761067939,10.420563035216,10.3816461207391,10.4024184146613,10.4832954266485,10.8104103266343,10.5350427184257,9.8991239579625,10.3179800827971,10.8081729686801,10.9113364812188,10.9085060352651,10.8061968395162,10.45957618829,10.8379746113394,10.6021901673565,10.5635477015798,10.0440570412838
"NR3C1",9.13685554875275,10.016049001945,10.9349854015186,11.7748954223507,10.1427080124974,9.24253081714191,10.7522569458315,11.7794757259144,10.5680796210841,9.84335453705986,10.1144142689009,10.9970049918078,10.5859899610565,10.3706607101641,10.4426652942073,10.7440574654324,8.72457763042716,10.2934335979731,10.8230636211135,9.98777803162069,9.1445677529376,9.32111161408721,9.67233181128329,10.8543381811071,9.43299008926625,9.88712265512985,10.4480062143864,10.2222134822417,10.7040301929204,10.3796412125601,9.43037288760948,10.1110003949274,11.4783707253769,9.71839159634369,9.66078995862144,10.5278307943881,9.86296134645383,9.68930754827337,10.8521590738917,9.41763440678107,9.51802834425935,10.5017894259311,10.4358575387217,9.92804559125518,10.322293118177,10.783769950758,10.186728337786,8.52668702179494,10.5373536347245,9.59279132255584,9.19672456906984,10.2722503424413,9.64909249510872,11.0122751353143,11.4022589405593,9.45890670184803,10.7540278072537,10.0633716204494,9.56440122497687,10.5475856499528,11.1270838723942,10.2223530928692,10.4214481241291,8.6329784806804,11.0887449174716,11.0888477205094,10.5607709265941,9.73185120246679,11.1814436866206,9.11949780405866,8.69993225802723,9.6640006288522,10.6849203137032,10.7766575621475,9.73057389880531,9.97549950146341,9.12092263849202,9.72121353997879,9.85658037269588,10.2733503693686,10.2425136684655,10.1727492662667,10.5024183246977,10.2335042805065,10.1500428670719,10.3814809810187,10.3156513607257,10.2081928939811,10.0662732838252,10.1588265179457,10.3593329411937,10.2276042718558,10.5913917220591,11.3124594417177,11.2369745324429,10.2992858760187,10.9590896025632,10.2474525085897,10.8445272012188,11.1292931930616
"USF1",10.3761704388694,8.98110942828014,10.1940567559117,9.62811485804694,10.1201486945147,9.26945399583406,10.0394220620368,10.2740316784559,10.1625345840314,10.3124022036843,10.6153720621081,10.4848406132271,11.0635722387552,9.88415280972728,10.1156483105594,10.1122756792627,10.067697060613,9.9204941403021,10.0047187913452,9.63363245867054,10.7653495079424,11.8727774810935,10.1948515127918,9.69470489330942,9.62120957435179,10.0692680932262,10.3026261302356,9.38958208353124,10.8943390334379,11.0447860938906,10.5962576954158,9.15398642144027,10.2433050342236,11.2421744043072,11.4698217359342,10.5722660264616,9.93096687928052,9.80870906715546,9.72931381959473,10.2392971905037,10.1904412779893,9.47934213548512,10.5099535985225,9.88171997947815,10.2756407886935,10.0640746058767,10.958482681399,9.87596723643096,10.1030808324045,8.9948896802844,10.5909886470501,9.87462992641575,11.7591234104232,10.1318119560508,9.26331850237134,10.8026925311783,9.86286838721271,10.586549343653,10.476290037713,10.2795535917318,9.91268099841839,9.99159100308019,10.5802944695227,9.89577868425562,9.54316061274987,9.31790503595637,11.3459466824798,10.0260042278646,10.3792179503936,9.87218204842104,12.1528103857918,9.84984855399402,9.69582091033151,10.3226052136574,10.2349677987972,11.5920655690366,9.43234750971185,10.0488758996329,10.6140877317831,10.1568994030988,10.5144986692324,9.95749763990289,10.5349331334324,10.1244143456567,10.1885827881062,9.53868132414438,10.0478227272238,9.48793326347067,10.4288432585501,10.4441574605662,9.44451799301967,10.4052704062227,9.56724215441734,9.51964490112544,10.2466642464389,10.1155533817311,10.3770598530909,10.4446751412342,10.5996327350896,10.8923540624514
"ESR1",7.86093176915553,8.42571986668316,10.0061742964977,8.01332658202791,10.6552102178526,4.38099951302208,5.91540138826041,6.45578256328421,9.55324702027743,8.33862720152068,7.81626881633152,7.49524744842341,10.731450225444,6.55245853704093,11.181052594386,7.68982958895197,6.80818680806033,7.78446864798478,5.84623253416874,3.79442626411473,8.20949674330744,8.59193518064762,7.14150738437852,7.4672444235881,9.93028258045234,10.3900918742346,9.13270098600748,6.11437743697448,9.40633300304419,7.01152135629364,11.4549598206232,7.12454216576613,6.54809748985065,9.54520853081683,6.5947008127218,9.893864997265,11.8674495283198,5.81032998718374,6.13869161838568,7.00419349455216,10.5806084092524,7.13000830410861,8.32305205739759,5.09846166832229,9.13843359824473,7.85553878464943,9.96578428466209,6.16211535231629,7.5646609176204,8.27917410848905,3.85003927819097,7.43936050326541,7.93155128457989,7.67926121550787,4.51281471870704,10.7173918825245,10.5534843452171,8.82108706374124,7.74375258816478,11.7080894841181,5.16650255944646,9.09880245541398,5.60030841360185,14.2863370811167,5.81892212137465,10.2309836325792,5.078490288251,8.30172618476533,6.23946678333928,9.52787652643609,7.28630454583036,7.43878021118802,10.0784616009673,8.61515436124144,7.34202131619451,9.74955236828346,8.65603007932343,9.59466032273613,8.13728320903529,5.60182426182748,10.3229096951866,11.4999174222599,6.19302852462731,6.52062025190469,8.22760150435907,6.49487797958343,8.47719524248582,11.2433798385113,9.19975625425058,5.9205958151733,8.56863677562604,4.81694779535051,10.6833652139198,10.3033268670184,10.4697580014001,10.3599135834478,7.38831612912518,8.39350501039069,8.47013172130825,8.48639178973913
"FOXA1",8.08838809700291,10.6513092538495,9.0576176021072,2.85489331082096,9.50921444106702,7.71660342664703,9.11179920951622,9.7700348167217,8.2679636367742,9.52476050229601,9.61576608427201,10.307745673757,9.61897549159871,7.89707278725908,8.93099215176444,9.22399636661461,11.959032060026,9.76446890654751,7.30051180859643,9.20503151057974,8.22294218304472,9.04732571167285,10.5997675428378,11.9917248436447,9.94468819891904,8.38243813928377,8.42795306168978,4.53732091950453,8.99941237660171,9.77583724253653,10.7227750061396,4.10959458133312,7.58716693684197,8.53731121158139,8.65686958100533,8.8938651489087,8.20250049196759,10.6397296863896,8.27340818707988,10.5951726145388,10.142123526913,9.35098800699955,9.69532156767719,8.82756437154917,9.33419863424437,8.62481299834053,8.81785665338746,11.4666775865693,9.25449247714349,10.4611858647875,5.76431165008103,7.0010151648076,6.85501046458737,9.80570292804656,7.5157707887545,10.0560532036312,8.4627128845646,7.18352025899553,11.8203251395954,10.0161606006281,9.93534865365253,8.03583831874643,8.39654013672136,2.53704751940466,6.14085226079497,8.640197930355,9.81931595994624,9.81688093554148,9.96507170590072,10.0729494756644,8.52470899136162,8.10091038764691,8.99971847793541,7.81791547597953,9.74285794332985,10.082760460088,10.48169208309,10.5355109133283,9.76107829002643,5.40590388981456,9.7634680116386,10.3350714079053,10.7811674779978,9.95020680863886,9.71750524279893,6.48509670850748,9.73921033724904,11.1390737003502,10.120448368432,8.03708126305514,8.79290642088534,10.3004020984906,9.43221386397848,9.70479970342901,7.8240779028049,9.67573285105076,8.76356594148591,8.70593126208034,8.98088301678539,9.18890998577339
"ATF3",8.0769684077657,8.91753319877791,12.9354920504346,8.43555942436693,10.3073676146698,10.3604599730771,10.7270443638372,10.604616698852,9.13100137652983,10.9763692927315,10.2781919106838,9.80849333238858,12.1068056264832,8.75999767080153,10.7037228792792,10.0041321038088,8.18369591633217,12.0735238691479,9.81676176384461,9.65240976903633,10.3243502389882,10.3937307646179,12.6774770141894,9.92964189259316,9.0164787697038,11.5829126718189,10.478114748157,8.77023341504416,9.11269648431076,9.76870786850933,10.762713729075,13.0285175613351,10.6342282288435,12.7362194264634,10.4504186485479,10.1258534447489,10.4118421766757,11.7165002843955,12.2036629692497,8.69048763611964,8.99076260166765,10.6627062001539,9.9249910483323,8.84480460799436,10.5807775051364,11.4065120637219,10.6651518374539,8.69104276094629,9.93189886020267,12.0422693619616,9.728916556934,8.78057979165696,9.4914486842931,9.08232630627439,9.38540385697709,9.25621576632707,8.94369486237275,11.1975630089488,12.1140050953949,9.71041936764522,7.46296026323783,9.73833938866909,8.03842959679882,7.43429461795993,8.67421275179766,10.7979152719743,9.56192312582076,10.7566176983024,8.70146692578018,11.6707349756353,6.98674426397145,11.0360208161876,11.0844880633192,11.2085520089617,10.7250805026944,11.1712275350804,9.44185380821158,12.6040893980271,10.1668759669863,9.88310955739931,12.5301006221147,9.8112695182515,10.6546662782681,12.229906673335,12.4093226982309,10.0647337394589,12.1494607110317,10.124136953868,11.1983575562282,13.560314418236,10.099611337916,10.4254917202239,9.76690303323054,9.44991932160834,11.1056044239647,12.7645154539937,12.1588989239925,10.7113231634067,9.71616388481531,9.63009981731422
"BATF",6.0940650141868,6.31976965196283,8.26165492079251,6.72936650775149,8.55436283733135,5.9773669405765,5.50976233863586,7.43203321374045,7.8534418093842,7.17306745322714,9.48557173345708,6.81717554331077,8.15759300631498,5.21685448055618,8.57708661946673,8.569690448261,6.05816494403431,7.24832514891814,5.08069603238396,5.2724748939607,7.54111830402469,8.94677793174219,8.86553378475591,7.86148149892923,7.03041774637229,7.77467901811888,6.2182193216041,4.06601167043263,7.80565682423818,9.25835827084475,7.17422962641864,7.52180927189073,7.2884536189323,9.03012388550135,9.63012457789426,7.78678779377615,7.51862955310746,6.35736197861071,4.08319634519821,7.50894516658783,6.8592999605016,5.1365810516665,9.13253031829485,4.82282700407757,7.32944834556233,3.65560370575804,5.47044250441502,4.35476244487654,5.494271589729,6.53717801227899,6.39752746840956,6.14831183860745,9.16952043908287,8.07630254759987,4.10564455763894,7.40796281007244,7.54754622564125,6.90587073071824,7.59203014568678,6.88499346019015,9.15745759669268,4.51896310020739,6.98596258337822,4.53705373361871,4.28189850749056,5.70159895713838,7.25982045640105,7.03602961066195,9.50073115916723,5.90986908864258,9.6743215221804,7.8095469253045,6.70825622323128,9.2049965542971,5.63348352308715,9.95010267819698,8.52752626797684,7.99874724203266,9.45526988128529,8.28632164391521,7.88470963517878,8.49209793296148,7.99442698414309,6.17741555126168,9.16155845444793,6.3077927961299,6.46902146745595,6.38112414113557,4.97512572339761,5.9336505303604,6.52125179536981,5.94068358445782,6.55543733654417,6.29559079592076,5.17450629150168,7.37758449789298,8.66107688446575,8.842856612245,7.78352868254333,10.2241524496637
"BCL11A",8.473737809153,8.52106801646369,9.68314323328601,4.48495014381631,9.70725455015702,7.56988370264504,9.16184007869999,5.90284779479177,9.11217596605703,9.06212306141088,8.57825002404308,9.14945372474879,9.26840725670056,8.59272237905191,9.61904796198498,10.5557388082486,8.18369591633217,8.94250805424943,9.91822088634702,0.572016513128941,7.26254309203677,9.03104693158034,8.57851648192168,6.96169972057816,8.18533881479891,7.89733422190961,9.28415342364834,5.3614701061247,10.3480294285759,3.30416054700136,7.64934528768434,3.47882946935304,7.39923348390321,11.4693226187187,9.60083542576633,10.1370181463432,8.68171349157292,8.67692391420238,7.44419411846842,6.37383958365651,7.70013450036789,8.77518094721187,10.0415567631947,6.92067322022707,9.79060898925478,7.77257784792954,8.7444470492221,6.64016104775602,9.89685746145871,6.75325553257996,7.36392009563373,8.5702276238205,10.5310574026163,6.98279055668142,7.90850971301793,6.9252992568469,9.68704581187071,8.88719441211036,10.1270182700503,8.79627717144493,8.03439896841165,14.7547500461433,1.64611656392826,7.1058969879114,9.95542949105635,7.48153387062822,8.23113812133455,8.55698342535862,0.982071780198127,8.25107664736254,4.67862408112478,8.47014433292078,9.53940699535789,8.26158017668365,9.06165686794966,9.04358155489879,7.35289444208917,9.62033879253128,4.09893322260096,8.61180755138658,8.92619220003731,10.2334933755027,9.12740087609807,8.62253764026735,8.54810712546361,8.95342327252475,9.42215940049875,7.58737774348809,5.20645177915155,9.58321536897132,7.30009351553678,10.8335061126967,9.16945604934518,9.55030660006975,11.0370369102382,9.15926361223134,10.3006782454342,9.03824465978165,8.99837972165209,2.36188062703844
"BCL3",9.71016103625565,11.209586601624,11.9999590361779,8.60213095301958,10.9166153986343,11.4041609804723,11.2789785816775,11.3216606079565,10.4972977995394,11.0955641626501,11.6488702543883,10.7109259933878,11.4913807367578,9.6163519989635,10.4232313841746,10.7282335432558,10.7046421168897,11.3927154507958,10.5515602360148,10.1380903957888,11.3133933658007,11.6553719106303,10.6922542160834,9.98200972615099,9.26568630049939,10.9111187787559,9.86249044622303,10.0909031703998,10.8023203843878,11.0977653703382,10.6798377379803,11.8088754713769,10.2239574035289,11.4762862905785,10.9732911162074,10.843502232176,11.0130997957719,11.0260734811192,11.3946553447734,11.6460057360931,10.454273997391,10.6726334215807,10.5315674392135,10.3163658279349,11.0386456467437,10.5088688300096,11.6300153823616,11.1501498368236,11.0278349655827,11.2894958328043,11.9601722281106,11.4184006454072,11.6340136274025,11.5824379249431,10.1726670211456,10.9436977922786,11.1491946367874,11.4987359899112,11.6471018460364,9.17063690597568,11.2323226454755,10.3545450545322,12.4811098503457,8.92018252099197,9.34671715876892,12.9318330776375,11.3079966338828,10.9070435732843,11.0353251958504,10.8646918506518,10.3031124338514,11.3291945853691,11.3144150616575,10.533952332099,11.1109295562204,11.0277939207916,11.3967738170367,11.1922939242358,10.220018637005,11.1365431151884,9.87321984675167,11.4369364642845,12.3974124589263,11.3781537770686,12.4241922759947,9.74434394423334,11.6166887416582,9.84162991614051,12.302271149598,12.6310888857861,9.37308612585362,11.6217044231711,9.70718655058168,10.8794761155733,11.4848239513656,11.3708257310938,11.3897172101294,10.1808788520555,10.9835593508913,12.6846675213265
"BCLAF1",11.9612623272263,11.2397163027714,11.1804417316953,11.674011743387,10.6772454472717,11.3544589377428,11.2943556752734,11.388930792649,10.9117580833087,11.5810730691696,11.2594016128238,10.8443295477322,11.2914981182464,11.4038539537536,11.417211860355,10.9001180270106,11.7387112271324,12.0565218207299,10.8244105076977,11.7477937885709,10.8690448824083,10.6329625816912,11.397041857986,12.5646734437983,11.6985996725978,11.4201097049133,11.8828902272569,11.2127576638208,11.2191198044757,10.4665534051527,11.4374405642687,10.6870210465847,10.924703555237,11.1757435810065,10.78900985975,11.4400498163354,11.6268413249635,11.6319605465204,11.2271547246818,11.4921641439143,11.0891360863268,11.6772897636951,11.5933329002345,10.5781824582044,11.7747961175895,11.7999840559283,11.3506637065431,11.3972396734368,10.9953922982073,11.102848900054,11.3148216912395,10.8451563107096,10.1308956151825,10.9143724991746,11.1058869727177,11.0330763964733,10.9602935558515,10.8679759767786,11.2052502125683,11.8198978568624,10.8947633581309,10.8750188357279,10.9403500128055,11.9974418807603,11.9367418313867,11.1822243114685,11.2640745487554,11.2373597805012,11.1927494106782,11.2150418659613,9.86184342442789,11.2914666344587,11.1853917204364,11.3482796763255,11.634033600119,11.1984450414524,11.0872052414968,11.6126158192805,11.0639198167317,11.7215879812289,11.2765346424311,11.1175394729471,11.4616163944962,11.3711880135773,11.450374363727,11.7413940492445,11.0148633077047,11.6156073389279,11.7365802275978,10.4521187966623,11.7199825055471,10.7299259882485,11.7635172263674,11.353709124315,11.3680972215444,11.5497381333046,11.5125358443152,11.3398385369757,11.0434153232081,10.9853321373765
