"","TCGA-2W-A8YY-01","TCGA-4J-AA1J-01","TCGA-BI-A0VR-01","TCGA-BI-A0VS-01","TCGA-BI-A20A-01","TCGA-C5-A0TN-01","TCGA-C5-A1BE-01","TCGA-C5-A1BF-01","TCGA-C5-A1BI-01","TCGA-C5-A1BJ-01","TCGA-C5-A1BK-01","TCGA-C5-A1BL-01","TCGA-C5-A1BM-01","TCGA-C5-A1BN-01","TCGA-C5-A1BQ-01","TCGA-C5-A1M5-01","TCGA-C5-A1M6-01","TCGA-C5-A1M7-01","TCGA-C5-A1M8-01","TCGA-C5-A1M9-01","TCGA-C5-A1ME-01","TCGA-C5-A1MF-01","TCGA-C5-A1MH-01","TCGA-C5-A1MI-01","TCGA-C5-A1MJ-01","TCGA-C5-A1MK-01","TCGA-C5-A1ML-01","TCGA-C5-A1MN-01","TCGA-C5-A1MP-01","TCGA-C5-A1MQ-01","TCGA-C5-A2LS-01","TCGA-C5-A2LT-01","TCGA-C5-A2LV-01","TCGA-C5-A2LX-01","TCGA-C5-A2LY-01","TCGA-C5-A2LZ-01","TCGA-C5-A2M1-01","TCGA-C5-A2M2-01","TCGA-C5-A3HD-01","TCGA-C5-A3HE-01","TCGA-C5-A3HF-01","TCGA-C5-A3HL-01","TCGA-C5-A7CG-01","TCGA-C5-A7CH-01","TCGA-C5-A7CJ-01","TCGA-C5-A7CK-01","TCGA-C5-A7CL-01","TCGA-C5-A7CM-01","TCGA-C5-A7CO-01","TCGA-C5-A7UC-01","TCGA-C5-A7UE-01","TCGA-C5-A7UH-01","TCGA-C5-A7UI-01","TCGA-C5-A7X3-01","TCGA-C5-A7X5-01","TCGA-C5-A7X8-01","TCGA-C5-A7XC-01","TCGA-C5-A8XH-01","TCGA-C5-A8XI-01","TCGA-C5-A8XJ-01","TCGA-C5-A8XK-01","TCGA-C5-A8YQ-01","TCGA-C5-A8YR-01","TCGA-C5-A8YT-01","TCGA-C5-A8ZZ-01","TCGA-C5-A901-01","TCGA-C5-A902-01","TCGA-C5-A905-01","TCGA-C5-A907-01","TCGA-DG-A2KH-01","TCGA-DG-A2KJ-01","TCGA-DG-A2KK-01","TCGA-DG-A2KL-01","TCGA-DG-A2KM-01","TCGA-DR-A0ZL-01","TCGA-DR-A0ZM-01","TCGA-DS-A0VK-01","TCGA-DS-A0VL-01","TCGA-DS-A0VM-01","TCGA-DS-A0VN-01","TCGA-DS-A1O9-01","TCGA-DS-A1OA-01","TCGA-DS-A1OB-01","TCGA-DS-A1OC-01","TCGA-DS-A1OD-01","TCGA-DS-A3LQ-01","TCGA-DS-A5RQ-01","TCGA-DS-A7WF-01","TCGA-DS-A7WH-01","TCGA-DS-A7WI-01","TCGA-EA-A1QS-01","TCGA-EA-A1QT-01","TCGA-EA-A3HQ-01","TCGA-EA-A3HR-01","TCGA-EA-A3HS-01","TCGA-EA-A3HT-01","TCGA-EA-A3HU-01","TCGA-EA-A3QD-01","TCGA-EA-A3QE-01","TCGA-EA-A3Y4-01"
"A2M",11.4605807572372,12.000629386337,11.6044691852437,11.8320216047855,12.34215227468,9.12182539397273,10.9990534845077,12.409378100338,11.8275421428392,11.6531234489926,11.985541664415,10.9973042644271,12.6241811975175,10.1392254302175,11.1274882575475,11.2824114243729,10.2597991582152,11.397727463067,10.7934359469475,10.7337833396173,12.3833891004503,11.8646821019136,12.8254337615181,11.4544272075949,13.1070099594322,11.2367757123309,12.2198350985194,8.59945132906086,12.7858905844862,12.6720872812167,9.56142905694448,10.9659866084539,11.008534018999,11.7917049778731,12.0999528723749,10.5944505776166,12.0550417741679,9.873703558965,8.58932381140341,12.1063414812095,12.4341703286325,9.82178673501953,12.4405245402986,10.7451660562852,13.0295196098559,11.5720280278918,11.2782755576856,11.5390571498818,10.8556153999152,9.94412022242929,9.37680738724218,11.6540436591378,11.7084682089089,11.4205754561036,9.88356476537046,13.1501369183459,12.1867006718452,11.0521086110565,11.2691130588281,12.3363451541555,11.0760658019451,10.984265636119,11.379898650746,12.7191133263117,12.1921481677939,11.4435628822387,11.4896772448029,10.0082644536441,10.4239329607529,9.94413984689837,13.3763222944842,10.954938336681,11.9779934016253,13.5966685596368,9.37739101868817,11.3340429497653,11.6026885666436,11.0179232299105,11.3923954593062,12.0990010682091,12.2125189404268,12.0330355693822,11.4666331863134,11.2774159116802,11.4580665606008,12.4380969985062,11.494654163005,14.7748634228378,12.849948120642,10.706683357677,13.8446253117193,9.96485835445367,11.8980350808157,11.4639051761093,11.3514302328946,11.7155872440089,12.1136468512788,12.9634575424237,11.5028735630707,10.9155079042483
"AAAS",10.0446012186676,9.80836155904398,9.26994342951321,9.95793505175384,9.94280462794282,10.1704567719886,9.33176499618381,9.88108795215254,9.46225092934281,9.18500398987441,9.23780580103226,9.46425963339355,8.67528632369205,9.45607878782051,9.94205464632039,10.2029167207676,9.19243609040201,9.02887575861046,10.1012151347906,9.73526660972065,9.62757036176236,9.79236246447225,9.29993673880859,9.97594653208647,10.3835470560631,9.12874370888396,9.77435303296972,9.05366690606469,9.39456387264621,10.0904316302592,9.65466180349448,9.70950501111669,10.1288101992246,10.7085154994099,9.92153868311327,9.37023731164002,10.0356081026767,9.46279916524967,10.0176388515166,10.3779507792679,9.8945314690489,9.13903762057974,10.1475390978658,9.55884255378705,9.05571572130895,9.79653481126274,9.63400618295564,10.0222258947958,10.1473316322757,9.65434960902318,9.4760300445094,9.05859276558734,10.4291424498908,10.2421976914432,9.88071536684966,9.88198619852055,9.66020416760649,9.60452487525626,9.90946066036335,9.90023481139941,9.69632355814404,9.02101381892891,10.212166223774,9.99812440488417,9.68227235337147,8.99186731458261,9.97041942335902,9.75934345053672,10.0833972841843,10.0448713866627,11.4442826527806,9.66682332918658,9.5514596852853,9.54465229792978,9.32305588656684,9.67757677428914,9.57058094970398,9.40162556055321,8.68389432011541,10.2211990880327,9.15523086326731,9.53208099798702,9.75937624350377,8.93930945507419,9.82514324099594,9.26627846332705,9.50943556494754,9.53186974964196,8.8680091701402,10.3358379450399,9.65785647896101,9.73527659632357,9.26107802152731,9.43708497070177,9.51231519514489,9.1117874750337,9.64239436001301,10.099035170686,9.55380494070354,9.752868320495
"AADAT",7.51381522073296,1.94279597935065,6.14432990313728,5.28275855646504,3.79692994263851,6.5960137888089,6.85768620749118,5.60660804561824,7.04968848308369,7.11526322490586,-0.222632890549587,-1.1484808088301,3.21312950000748,0.087598617923621,1.70796645477598,6.71106396104499,1.59874631615426,1.46435460355164,4.45920863944578,6.21107645897684,5.45258225693862,4.92711897098895,6.49905976282643,3.64249364243255,8.32641465560172,7.41281200448921,6.84074519906159,5.40099894453086,2.87788164293429,4.82772250305837,6.69133874020387,2.10959458133312,5.44856071508273,5.54592513701369,0.720190893832597,4.6833595990205,6.18168301135244,6.12011343466697,7.36496719349055,5.6758667293991,6.55136835684788,7.64293329116778,5.91953554341299,6.09846166832229,6.53157796559265,6.4959972911841,5.65772288348529,6.04405963764619,6.5715145128174,0.697951699469213,5.35905373685772,6.84220826710264,2.15458320905307,4.66729040387782,6.23313262506611,7.04275594936392,5.41734621727028,4.29752159890574,0.171334947398768,8.38749308269994,5.79877116368827,0.964361663246735,5.76158846280385,8.50206879348644,7.54610809254153,5.39081211290233,7.14560511485947,7.40745387902224,6.75686450930803,7.92435290531951,5.64385618977472,6.10091038764691,6.33146517724264,3.15232946627852,6.76243120744444,1.43440138145001,2.11343380260405,2.86945689251888,6.26331803283645,2.43189034828618,1.75983759648808,5.02037329627294,3.19303049653641,5.84514627221328,5.46915663199964,7.67988751535293,5.4189792330291,4.00497771756354,6.91099522960875,4.89412413309153,6.92761679782367,7.27833515321573,6.36375981209615,7.60192229128304,2.38901605968851,4.9380881488889,2.53281564410817,6.39665786453317,1.55998119415983,0.661475990736795
"AAGAB",10.593785125495,10.6033902651589,10.4407865476011,9.49531421462327,10.4723861253049,10.6513516831346,10.6571334332953,10.4509897442107,10.5305470881061,10.7753596596539,9.83939608212009,10.7221412619948,10.1707106304956,10.7793159514155,11.1500697848364,9.78801793774078,10.5111240551681,10.5464941915043,10.0863225555734,10.2523959071116,10.850540278079,9.87904389941914,10.1224629403107,10.5352534054913,10.0525162921723,10.3188585412157,9.38352372832262,10.0223255026015,10.1799466493452,10.6600636564894,10.6783469630766,11.5528811638615,10.5046640856996,10.2183497523843,9.91005609010239,10.6217457635482,10.7028716083001,10.457292631869,11.1558150590951,10.5160513045679,9.92508899365917,10.3650493488842,9.93907682803934,10.3011169518405,10.5361211079435,10.2052039573263,10.310582905067,11.2340364284125,10.327161660045,10.5229322076982,10.445943294921,10.4706638558741,10.8098026886791,11.5893281189266,10.4474266005024,10.2790757678528,10.085365962713,10.2407292114761,9.67386872913862,10.0268828957624,10.7567154271689,9.33941557050271,10.2000614274565,10.3314701038228,10.222798886874,9.93116254473524,9.85296451507284,10.4786519344357,11.2261445829637,10.7747497565588,11.357766523579,9.43414843091334,10.5339501913689,9.88867841747457,10.4047854267587,10.1563564164471,10.4643673678812,10.3078404860465,10.5188192478112,10.4091783351161,10.0521713230482,10.5317089541088,10.2520618576206,10.5992646922886,10.1098025834687,10.1246284928605,10.2503809737087,10.0535489400885,10.583420360022,9.71288290155927,10.1591665897448,10.3648777033309,10.0492458942604,10.4649416458585,10.1219366126967,10.3503571255959,9.64760826467967,9.73674167728262,10.0619840559621,10.3466197706784
"AAK1",10.2385892444005,9.83018987069027,9.68314323328601,10.9636704148288,10.0407871115986,9.60798622094791,9.82134940050628,9.6946937514104,9.91052041472325,10.0287920698119,9.9378517946706,9.90938295140359,9.32686694839918,10.2364726472491,9.34095097348075,9.64026446128626,9.75270778760427,9.23583450177558,9.46267362718948,8.25268908299477,9.52275334982733,9.01251112991851,10.0034805266382,10.0898129962843,9.18861381759048,9.91810114996926,9.34839155988336,9.93020154886028,9.62774835770426,9.24079991676807,8.8665105395321,10.7686962087034,9.12644404159314,9.57005263664635,9.3736738740971,9.86299837355011,9.24476364292608,8.8654171731318,10.0998954571163,8.52534814516395,8.56990458319974,9.62259272868257,9.83398522399165,9.38010538014383,10.6057444199603,10.1888784682608,10.0819434027286,9.10295227722333,9.44287239576356,10.1084248760208,9.79345683781818,10.752243228533,8.72695447828977,9.21435482341809,10.0224300972679,8.82184762927405,10.1963738098049,9.81924090573715,9.49179298278393,11.0161605309687,9.50546185147636,10.0012364682753,10.0087865901347,9.56827290131381,10.1389004580399,10.1807207507231,8.7154609913229,9.89056175469478,8.11393485973785,8.77252770420342,8.55776733445283,9.86122992738205,10.3021624016294,10.3191472141031,9.76577987098395,9.7764774476859,9.9540312345246,10.0136128583653,9.71211786358719,9.21325808270241,9.75299021322733,9.83377876953575,9.74997749980665,10.081556270052,9.76030113093208,10.167685709586,9.89681024588394,8.63402179809269,9.90208730052985,8.75762135542867,10.8831352239513,9.69812973113261,10.6726720464809,10.2615824096613,9.65924438966295,9.97876436256222,9.88905671186546,9.47706285340377,10.164603400975,9.19281430995166
"AAMP",11.6158190414743,11.2930026104961,11.1804417316953,10.7261422753246,10.7934402552063,10.3060958761096,10.301983108121,10.308677818893,10.6355505367179,11.3744879405099,10.5619847771017,11.0778034380883,11.3556574438668,11.5702122990565,11.3217451540662,11.3968363643793,11.8742761906641,11.3079521926514,10.9899911114688,11.5114930935343,11.4141226864621,11.4468516633404,10.2876214291873,11.408180633343,11.3546806381121,11.188869692674,11.0266856847182,11.4924707681817,11.3859212717491,11.9300991438511,10.9867130532233,11.1580790878311,11.5814770405941,11.8801090023614,12.2923001475305,10.4986982490633,11.6869859106527,11.2567444977306,10.3374377069109,11.6631213604778,11.3886160410161,11.1146928856279,11.2868653266508,11.0882974534628,11.154637697616,10.3364122738748,10.8494359875841,11.3522212957069,11.3294378058153,11.1520156747053,11.4833150288486,11.0051214829902,11.0063192051924,11.4105525274137,11.2933167376078,11.0637534858097,10.4188497178584,10.7786516284093,10.2645658691462,11.3542489410911,11.2872589558141,11.8188549137269,10.8547530097834,11.2101865898688,11.0806370129193,10.4144587201889,11.7107939520952,11.0511863008951,11.3595597686626,10.7696342324361,11.4341450940889,11.7575338133082,10.2405912486783,10.7085104988468,11.0654655476502,11.2120691066702,11.400884078082,10.4275024669686,11.8012835701979,11.2092711285762,10.9537269945891,11.2410235158404,11.3280480153063,10.9184979715971,10.5617956157413,11.4265739678582,11.3067925381399,11.0516927948903,10.9540637421461,10.7956606284699,10.6598213853253,10.9786244524727,11.3148333577043,10.702363964002,11.379487810618,11.0786031638387,11.3612787310058,10.4013755441635,10.1298214796574,11.2068801750368
"AARS2",9.57839835581867,9.204278663202,9.3389065994063,9.48477416598635,9.70722607356756,9.30153231906538,9.11948613202785,9.52121370636591,8.82632316776187,9.04189483645138,8.9156090348717,9.06568593313967,9.6975316313692,9.54425527144153,9.74245748790808,9.09528387097465,9.47720354170251,9.02886056793504,7.94694661673239,9.20377108253723,9.12751102099713,9.05941557974545,9.45953366930776,9.45367107551391,9.69534767000622,9.9017823872874,9.92658109534108,8.92171064244297,9.49988494293964,9.14651241781038,8.86643202782084,8.16304731629435,7.61983261066079,9.66996358924714,9.1534691915285,9.29326977236455,9.0459777552732,9.39957658114183,8.53487945611288,9.58699136616163,9.66031417754604,8.91929389496042,9.10581634071705,9.19196206646652,9.53976135948062,9.63276987200997,9.38858434683269,9.16199849966713,8.79279810142334,8.84633566145109,8.92269024106411,9.85373652994666,9.90388094216907,8.61208484396899,9.05476058450314,9.75089369555546,9.01944033554495,10.3193704555175,8.97101696038425,9.68074348776709,9.18757155401765,9.05779357542456,8.60595947230554,9.41884118146231,9.18120345237036,8.66905299351243,9.65541623320357,9.02988240571458,9.39674219455089,9.11246661407598,8.2520882389875,9.44665221352866,8.50741727060675,9.10804687704396,9.34908258882694,9.05826616058955,8.5691754830893,9.24879951087788,8.85656185453125,8.97989444149827,8.89939378293286,8.86362567570981,9.85282769278102,9.08482326635053,9.46308679840856,8.16653871203212,8.17447133674795,9.2528621931754,8.97359549165145,9.83008066929609,9.57397582703961,9.66597557152381,9.43953545958945,9.29297104452844,9.13895394274553,8.59143894273568,8.82006628736279,9.34042807826124,8.72527490420102,8.76078081377646
"AARS",13.0458831621206,11.4446372533097,12.0096156607031,11.7649329868824,11.06371965116,11.9652473940168,11.6975331082496,11.7206555430566,11.7487441976268,11.9093517091218,11.9842117241621,12.0051015827222,11.5254406462684,12.0382498048635,12.2519541385579,12.1113886414571,12.0314495102687,11.6717255712748,11.7089612989256,11.7848366778878,11.4029435099163,12.3464117602753,12.1071886268819,12.4511868176738,12.0414189105922,11.3234940903746,11.3151144003827,11.9500471461806,11.5194791497376,11.2892924192295,10.3595849695134,11.8648971004576,12.1265623900652,10.6467952999408,11.6318732200283,11.7139508514636,11.3985971173631,11.2583285879671,10.5522395868787,12.2254457873549,11.4848763021863,11.7504871322232,11.2377439101066,11.591010674127,11.5777762887497,12.1056980129116,11.2374481590863,12.1352992459688,10.9934797053528,12.1027158960043,11.2294186667467,11.1854869952511,12.8102499445571,11.943206437142,12.8405724193125,11.6025151068508,11.5769947740194,11.9705048779798,12.2859783726131,11.9969297403868,11.6537397936258,12.2388998343564,11.591799825969,11.582540902732,12.3196305779565,11.6270091478061,11.2985815122765,11.0713127221136,12.2000357944093,11.3853849815255,11.7786581162952,12.4964841205503,11.4245095443,11.5906964641739,11.5590202446821,11.829669187911,12.583748120623,11.6659908000471,12.5680120999355,11.2360293843798,11.8848018081326,11.7154189046389,11.0127172705902,11.5271050438437,11.6228486975008,12.5723434397912,11.5277510041283,12.5012552385866,10.0207860854307,11.8622567209892,11.6259041415344,11.4550859802923,11.8990454635645,12.0715820235163,11.5807840990034,11.5067959020493,11.8513676682896,11.4898538796905,11.9861353547494,11.6291995909374
"AATF",10.7409388566197,9.51854930149487,10.9370110040878,11.3975605175672,10.871711761899,10.887284674581,10.5980525001616,10.519144198139,10.5589456516003,10.5843542991208,10.9600546561041,9.81861748553208,9.99065412581348,10.1532129141883,10.5546997354128,10.3750144446954,11.0077709253943,10.7598845223993,11.3671788332993,11.2161930424881,10.8339874369728,11.5310172315243,10.2323759546846,10.6197757664005,10.3210526318935,10.0647447853301,10.0943384823546,10.2513414480494,10.5396570753584,10.6102237131531,9.79264764423298,10.6558436458159,11.0067571393716,10.6859629180744,10.8763146481201,10.4335446528833,11.0255666309426,10.0186152591152,10.6796053622221,10.7500688104942,10.1275989761072,9.77886201814316,10.4193342072761,11.007788651901,10.2386208885315,10.383153998073,10.1899850003743,10.4968665569138,10.6923728818811,10.4415456225921,10.5055022442553,10.6458111590803,11.1966854770969,10.751447653044,11.0600911698379,9.77257999219476,10.2344024020475,10.8269172171695,10.336694220695,10.2560506086198,10.9432646876227,10.8572983518356,10.9479893507828,10.0197950261955,10.7088176564426,10.5798751799576,10.4402260389765,10.8883498782559,10.2634286040856,10.9213475848837,11.419446402696,10.2925636723353,10.2169492759781,10.3755043214044,11.0443919334552,9.9202321046779,10.6801165043208,10.4999136363645,11.1631634549166,10.8428039823887,10.3616204466502,9.78840349885726,11.0271358009067,10.541988680268,10.0076251113579,11.2906984358908,10.5856015219219,9.825425671865,10.1571957097522,10.8603349573612,10.0555144141443,11.0369826688718,10.3506463046111,10.9288599478318,10.307873833906,10.358960803209,10.3194212643671,10.6349378928765,10.5040789822732,10.8291647322599
"ABAT",8.18374702165373,9.77920110641204,6.48536564014556,8.57892362206215,7.0805723951611,4.03307935690886,8.22454390981972,7.96208798552698,7.6853185739562,8.03599937943178,8.52050121741722,5.27765750100343,6.32164854564098,7.9351520815001,5.86984426904587,9.42727072562572,8.90403544392073,7.66597894578773,6.97793814605858,5.25386071849301,5.43420453011926,5.8174953533453,7.71353086314538,6.72193037915953,7.53532126214846,8.59951269910699,7.30384922891132,7.3879432107429,5.98640410860321,7.81591480139519,7.64018491307479,7.40114660890737,7.10833313018451,6.81181907468759,5.99325090982444,8.21368555600353,6.01280552778032,7.49540336467147,8.16899446366866,5.88445383964632,8.52247639016441,8.60196127841964,7.7675336417219,9.12564567790808,6.9728477124153,4.90558195876639,6.65143635856979,6.14135512789784,4.75730599556279,5.80649677858677,5.29934724319064,6.62766373942114,3.96192887318448,9.93864821407595,6.86748261796421,7.43987242967666,8.37464307031494,6.49546492695995,7.36119285070914,8.08908443109337,6.64547398619643,10.5693925428121,7.58078617135532,7.9362250924992,5.03573386705259,7.20212382383046,6.33002948221618,11.2001708840282,5.28585715094732,10.2327678278396,4.67862408112478,7.23171943657559,8.52358626212741,8.58437252822788,8.77975776084831,8.19262619880173,7.68833704310051,8.7048833737614,8.95605461897321,9.01040585975095,8.20516032816958,9.00865859454192,4.81451966204557,6.6745722278653,6.52033423830139,7.21616187284669,8.03195753657289,6.79468228542782,7.04152664756392,6.65493527616395,7.52864398311466,8.00115651012497,7.33839678009831,9.8852860771941,5.20717054265399,8.05094458124229,6.17089849207877,7.17216444910362,8.18932249270675,7.10437650113347
